kb_id,source,document_type,device_model,section,page,topic,symptom,guidance,keywords
kb-001,GST-QKP02H/04H 安装使用说明书,manual,GST-QKP02H/04H,第8章 表3,76,主电故障,开机后显示主电故障,确认是否发生主电停电；检查主电源接线、熔断器是否断路；更换交流保险管（参数见标签）。,主电故障 主电异常 交流 保险管 停电
kb-002,GST-QKP02H/04H 安装使用说明书,manual,GST-QKP02H/04H,第8章 表3,76,备电故障,开机后显示备电故障,检查备用电池连接器及接线；交流供电下开机充电 8 小时以上仍不能消除故障则更换电池；备电放空超过 1 周不充电可能损坏电池，电池建议至少每三年更换一次。,备电故障 备用电源 蓄电池 电瓶 连接器 充电 8小时 更换 铅酸
kb-003,GST-QKP02H/04H 安装使用说明书,manual,GST-QKP02H/04H,第8章 表3,76,总线故障,总线故障提示,总线短路所致，检查总线线路；测量总线与地、总线与 DC24V 电源线间绝缘电阻应大于 20MΩ，总线回路负载阻抗应大于 1kΩ。,总线故障 短路 对地 绝缘电阻 20MΩ 回路
kb-004,GST-QKP02H/04H 安装使用说明书,manual,GST-QKP02H/04H,第8章 表3,76,设备故障,单个总线设备报故障,检查终端电阻是否错误（4.7kΩ/0.25W）；检查连线是否断开；仍无法恢复则更换设备。,设备故障 终端电阻 4.7k 断线 探测器
kb-005,GST-QKP02H/04H 安装使用说明书,manual,GST-QKP02H/04H,第8章,77,24V故障,驱动电磁阀回路报 24V 故障,启动电流超过 3A 会烧断限流保险；先更换主板限流保险，确认电磁阀驱动端子接线正确后重新上电自动恢复；原因未排除时复位无法清除故障。,24V故障 驱动输出 限流保险 电磁阀 过流
kb-006,GST-QKP02H/04H 安装使用说明书,manual,GST-QKP02H/04H,附录二,85,火警处理流程,控制器发出火警,先将本灭火防区转手动状态，按消音键中止警报；根据报警信息检查火警部位确认是否有火灾；确认火灾后启动声光警报器通知撤离，人员撤离完毕后方可启动气体喷洒，并拨打消防报警电话。,火警处理 手动 消音 核实 疏散
kb-007,GST-QKP02H/04H 安装使用说明书,manual,GST-QKP02H/04H,附录二,85,误报处理流程,疑似误报火警,检查误报部位是否灰尘过大、温度过高或人为因素；按复位键恢复后观察是否复现；仍误报应摘除该探测器并尽快通知维保单位维修。,误报 灰尘 复位 摘除 探测器
kb-008,GST-QKP02H/04H 安装使用说明书,manual,GST-QKP02H/04H,7.1.8,65,紧急停动,气体灭火延时启动阶段需要中止,延时期间按下停止键、现场紧急停动按钮或通过联动控制器停动命令可紧急停动；延时之前和电磁阀信号输出后停动操作无效。,气体灭火 喷放 倒计时 延时 紧急停动 停止
kb-009,GST-QKP02H/04H 安装使用说明书,manual,GST-QKP02H/04H,6.7 调试,52,气体灭火检修安全,对气体灭火系统检修或试验,必须先断开电磁阀连线并用 4.7kΩ 电阻代替；检修开关置检修位可断开电磁阀总电源；接入电磁阀前必须用万用表确认无电压。,检修 电磁阀 断开 误喷 万用表 电压
kb-010,GST-QKP02H/04H 安装使用说明书,manual,GST-QKP02H/04H,第9章 报废,79,设备寿命,设备接近使用年限,火灾探测报警产品使用寿命一般不超过 12 年，可燃气体探测器气敏元件不超过 5 年；到期应报废，继续使用须每年检测试验合格。,报废 寿命 12年 5年 火灾探测器 可燃气探测器 年检
kb-011,海湾/高能 MODBUS 通讯规约,protocol,,事件类型表,12,事件解码,网关收到控制器事件帧,事件类型 01 火警、02 故障、03 启动、04 停动、05 隔离、06 释放、07 监管、08 反馈、09 动作、0A 复位、0B 恢复、0C 控制器状态；事件读取后寄存器清空，40005 起为事件池映射可重读。,modbus 事件类型 0A 复位 解码 寄存器 事件池
kb-012,海湾/高能 MODBUS 通讯规约,protocol,,通讯参数,4,通讯故障排查,网关长时间无事件或通讯超时,RS485 接口 9600bps/N/8/1（高能卡）或 4800bps（海湾 RTU 卡）；检查从站地址设置与控制器联网地址一致；波特率越低传输距离越远。,通讯 波特率 9600bps 高能卡 RS485 从站地址 超时 排查
kb-013,企业消防安全管理制度（合成）,policy,,应急响应,8,确认火警响应,现场核实确认真实火警,立即启动车间应急处置卡：通知区域人员疏散、微型消防站先期处置、值班负责人拨打 119 并报告 EHS；涉锂电池区域按锂电火灾专项预案使用对应灭火器材。,确认火警 应急 响应 疏散 微型消防站 119 锂电池
kb-014,企业消防安全管理制度（合成）,policy,,维保管理,12,故障工单时限,消防设施故障处理时限,火警主机及联动设备故障应在 24 小时内消除；无法及时消除的应报告消防安全责任人并采取临时防护措施；维修期间加强人工巡查。,故障 时限 24小时 不能修好 工单 临时措施 上报
kb-015,企业消防安全管理制度（合成）,policy,,网格化管理,16,隐患整改,巡查发现火灾隐患,按网格化责任区派发整改通知，一般隐患 3 日内整改，重大隐患立即整改并上报 EHS 经理；整改完成需复查销项并留存影像记录。,隐患 网格 整改 完成 复查 销项
